[2016-12-15 18:14:38] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:14:38] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:14:38] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:14:38] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:14:38] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:15:05] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:15:05] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:15:05] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:15:05] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:15:05] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:15:05] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:15:24] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:15:24] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:15:24] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:15:24] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:15:24] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:15:24] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:16:10] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:16:10] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:16:10] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:16:10] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:16:10] DEBUG [django.db.backends:90] (0.004) SHOW FULL TABLES; args=None
[2016-12-15 18:16:10] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:16:14] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:16:14] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:16:14] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:16:15] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:16:15] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:16:15] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:16:43] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:16:43] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:16:43] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:16:44] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:16:44] DEBUG [django.db.backends:90] (0.004) SHOW FULL TABLES; args=None
[2016-12-15 18:16:44] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:33:18] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:33:18] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:33:18] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:33:19] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:33:19] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 18:33:19] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:33:40] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:33:40] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:33:40] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:33:40] DEBUG [django.db.backends:90] (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:33:40] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 18:33:40] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:33:43] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:33:43] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:33:43] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:33:44] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:33:44] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:33:44] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:33:48] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:33:48] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:33:48] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:33:48] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:33:48] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:33:48] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
